Joint1,Joint2,Joint3,Joint4,Joint5,Joint6
-150.9392217529734,-30.576276592861323,81.04970260857594,-141.44520210985462,-88.25187372444456,-60.92439571092601
-150.9867434345044,-30.62285660025835,81.15834397385764,-141.50581204696513,-88.25106845450281,-60.97193279131977
-150.95954071766457,-30.67550941273377,81.28287826891042,-141.57852438909887,-88.2515293903664,-60.9447213615005
-152.41062140953903,-32.023054571274244,84.4491310973647,-143.3526359828925,-88.22749821361285,-62.39628817736483
-148.9524881239783,-37.293747893584346,97.63574383747333,-151.37380065006653,-88.28661261956064,-58.93705915180487
-148.9003614279988,-37.25476857109675,97.53548475013658,-151.31407868149816,-88.28755190587637,-58.88491756359526
-148.8679449543991,-37.29343263010497,97.63710731032326,-151.37800785591514,-88.28813681847375,-58.85249203446177
-148.8158641626698,-37.2543964382123,97.53670556688229,-151.31819773022104,-88.2890779264835,-58.80039659564103
-148.7833683922815,-37.29300466062377,97.63817448554897,-151.3820274357902,-88.28966548686392,-58.76789124667815
-148.01009757305613,-36.69750852890169,96.11446248701829,-150.47680377927864,-88.30381367294844,-57.994408328863535
-146.72036121316575,-38.11460651926097,99.85627900230193,-152.83943558092088,-88.32809726838519,-56.704343334144916
-146.0530558804232,-37.59914121716427,98.50991820576435,-152.0279397308319,-88.34099494305002,-56.03688074405895
-146.01773941303475,-37.63508387019974,98.60536973450688,-152.08846963386344,-88.34168377049974,-56.001556016234495
-148.0579956764803,-39.13562290820057,102.57348120013232,-154.4962895503439,-88.30292827511332,-58.042319243819094
-146.66232223658938,-40.41634086835505,106.19050496864983,-156.87361968333786,-88.32921005508223,-56.646290536226594
-146.71700182509434,-40.451742083969044,106.28998911387615,-156.93610772720925,-88.32816170901341,-56.700983370565666
-146.67994310983613,-40.48278285696012,106.37991174796429,-156.99607110790916,-88.32887202650956,-56.6639154415736
-148.87928443577002,-41.79463646271967,110.1628123954729,-159.40216957436078,-88.28793216425098,-58.86383450771688
-152.4393838344294,-38.02484925951388,99.4632144514845,-152.36403458774754,-88.22703327705138,-62.42506048038147
